From,To,Distance,Value,Kappa,KSIM,AAWCE,WS
Urban-villages,Urban-villages,0,1000.0,0.6029441573433183,0.08089783660645701,0.03025023795240089,0.10942415963218934
Urban-informal,Urban-informal,0,1000.0,0.6029441573433183,0.08089783660645701,0.03025023795240089,0.10942415963218934
Urban-formal,Urban-formal,0,253.76874905548112,0.5904091255652908,0.07956860431719272,0.0265975802088669,0.11301963817577838
Industry,Industry,0,253.76874905548112,0.5904984700540863,0.07958676204051085,0.026551229962062592,0.11330091760216218
Recreation,Recreation,0,250.0,0.5904984700540863,0.07958676204051085,0.026551229962062592,0.11330091760216218
Nature,Nature,0,250.0,0.5904984700540863,0.07958676204051085,0.026551229962062592,0.11330091760216218
Forest,Forest,0,1000.0,0.5904984700540863,0.07958676204051085,0.026551229962062592,0.11330091760216218
Urban-villages,Urban-villages,1,0.502499874064149,0.5922764253811195,0.08101715536435272,0.026176913743262302,0.11884427267640256
Urban-informal,Urban-informal,1,0.502499874064149,0.5952784002046528,0.08086390771770434,0.022294932149114204,0.1360670203087204
Urban-formal,Urban-formal,1,12.5,0.5952784002046528,0.08086390771770434,0.022294932149114204,0.1360670203087204
Industry,Industry,1,25.0,0.5952784002046528,0.08086390771770434,0.022294932149114204,0.1360670203087204
Recreation,Recreation,1,0.502499874064149,0.5954034824889666,0.07992598986194015,0.020414895810107317,0.14179471814276207
Nature,Nature,1,12.5,0.5954034824889666,0.07992598986194015,0.020414895810107317,0.14179471814276207
Forest,Forest,1,12.5,0.5954034824889666,0.07992598986194015,0.020414895810107317,0.14179471814276207
Transportation,Urban-villages,0,13.75,0.5954034824889666,0.07992598986194015,0.020414895810107317,0.14179471814276207
Urban-formal,Urban-villages,0,0.502499874064149,0.5955285647732806,0.08003964398159515,0.020415828062800487,0.14210168556084213
Nature,Urban-informal,0,0.502499874064149,0.595519630324401,0.08003488389265312,0.020402168918746095,0.14214084565992252
Nature,Urban-formal,0,13.75,0.595519630324401,0.08003488389265312,0.020402168918746095,0.14214084565992252
Industry,Urban-villages,0,0.502499874064149,0.5955553681199193,0.08009287713546884,0.02038304456118021,0.14235715477282967
Industry,Urban-informal,0,0.502499874064149,0.5957519259952697,0.08017008151288914,0.02035064507274238,0.14277220006498853
Industry,Urban-formal,0,0.502499874064149,0.5956357781598354,0.08008228919229571,0.02020498623765251,0.1431018188738716
Agriculture,Urban-informal,0,0.502499874064149,0.5957965982396676,0.0797429051053399,0.01953126130822489,0.1452251638042253
Agriculture,Urban-formal,0,27.5,0.5957965982396676,0.0797429051053399,0.01953126130822489,0.1452251638042253
Urban-formal,Industry,0,6.875,0.5957965982396676,0.0797429051053399,0.01953126130822489,0.1452251638042253
Nature,Industry,0,6.875,0.5957965982396676,0.0797429051053399,0.01953126130822489,0.1452251638042253
Agriculture,Industry,0,13.75,0.5957965982396676,0.0797429051053399,0.01953126130822489,0.1452251638042253
Industry,Recreation,0,6.875,0.5957965982396676,0.0797429051053399,0.01953126130822489,0.1452251638042253
Agriculture,Recreation,0,0.502499874064149,0.5964041407634778,0.07959008266437731,0.01941703152917754,0.14578146638769635
Urban-formal,Nature,0,6.875,0.5964041407634778,0.07959008266437731,0.01941703152917754,0.14578146638769635
Nature,Forest,0,27.5,0.5964041407634778,0.07959008266437731,0.01941703152917754,0.14578146638769635
Agriculture,Nature,0,27.5,0.5964041407634778,0.07959008266437731,0.01941703152917754,0.14578146638769635
Agriculture,Forest,0,0.502499874064149,0.5967436498209011,0.07973669115888529,0.01907546924495284,0.14766727188522663
Airport and Harbour,Urban-formal,1,0.502499874064149,0.5966811086787444,0.07980545214986842,0.01906276817117377,0.147813904067538
Transportation,Urban-villages,1,0.502499874064149,0.5966275019854669,0.0797741203139797,0.019008728412456218,0.14793166163511243
Transportation,Urban-informal,1,0.502499874064149,0.5966989775765036,0.07958484873398763,0.018894107513021403,0.14805925246689203
Transportation,Urban-formal,1,20.0,0.5966989775765036,0.07958484873398763,0.018894107513021403,0.14805925246689203
Urban-informal,Urban-formal,1,5.0,0.5966989775765036,0.07958484873398763,0.018894107513021403,0.14805925246689203
Urban-formal,Urban-villages,1,20.0,0.5966989775765036,0.07958484873398763,0.018894107513021403,0.14805925246689203
Recreation,Urban-formal,1,5.0,0.5966989775765036,0.07958484873398763,0.018894107513021403,0.14805925246689203
Nature,Urban-informal,1,0.502499874064149,0.5969134043496129,0.08014389177288765,0.01888068457296365,0.14937398148699596
Nature,Urban-formal,1,5.0,0.5969134043496129,0.08014389177288765,0.01888068457296365,0.14937398148699596
Industry,Urban-villages,1,20.0,0.5969134043496129,0.08014389177288765,0.01888068457296365,0.14937398148699596
Industry,Urban-informal,1,20.0,0.5969134043496129,0.08014389177288765,0.01888068457296365,0.14937398148699596
Industry,Urban-formal,1,20.0,0.5969134043496129,0.08014389177288765,0.01888068457296365,0.14937398148699596
Agriculture,Urban-villages,1,0.502499874064149,0.5970027488384086,0.08027998962290736,0.018897900360567328,0.14963687702915116
Agriculture,Urban-informal,1,0.502499874064149,0.5979855382151604,0.08080137244394257,0.018640522322565096,0.15236434774106505
Agriculture,Urban-formal,1,0.502499874064149,0.6008445618566209,0.08585665814464134,0.018651353276757033,0.1643376110866685
Airport and Harbour,Industry,1,0.502499874064149,0.6009696441409348,0.08598309954768815,0.018727634426158248,0.16436875748469984
Transportation,Industry,1,0.502499874064149,0.6023098114728692,0.0867900920832987,0.018690864449072798,0.167023267352219
Urban-informal,Industry,1,0.502499874064149,0.6034623553783329,0.08739403768349399,0.0186955689285452,0.16898070323836245
Urban-formal,Industry,1,20.0,0.6034623553783329,0.08739403768349399,0.0186955689285452,0.16898070323836245
