From,To,Distance,Value,Kappa,KSIM,AAWCE,WS
Urban-villages,Urban-villages,0,1000.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-informal,Urban-informal,0,1000.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-formal,Urban-formal,0,500.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Industry,Industry,0,250.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Recreation,Recreation,0,250.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Nature,Nature,0,250.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Forest,Forest,0,1000.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-villages,Urban-villages,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-informal,Urban-informal,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-formal,Urban-formal,1,12.5,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Industry,Industry,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Recreation,Recreation,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Nature,Nature,1,12.5,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Forest,Forest,1,12.5,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Transportation,Urban-villages,0,13.75,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-formal,Urban-villages,0,13.75,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Nature,Urban-informal,0,13.75,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Nature,Urban-formal,0,13.75,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Industry,Urban-villages,0,6.875,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Industry,Urban-informal,0,6.875,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Industry,Urban-formal,0,6.875,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Agriculture,Urban-informal,0,13.75,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Agriculture,Urban-formal,0,27.5,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-formal,Industry,0,6.875,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Nature,Industry,0,6.875,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Agriculture,Industry,0,13.75,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Industry,Recreation,0,6.875,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Agriculture,Recreation,0,27.5,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-formal,Nature,0,6.875,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Nature,Forest,0,27.5,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Agriculture,Nature,0,27.5,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Agriculture,Forest,0,6.875,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Airport and Harbour,Urban-formal,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Transportation,Urban-villages,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Transportation,Urban-informal,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Transportation,Urban-formal,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-informal,Urban-formal,1,5.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-formal,Urban-villages,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Recreation,Urban-formal,1,5.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Nature,Urban-informal,1,5.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Nature,Urban-formal,1,5.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Industry,Urban-villages,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Industry,Urban-informal,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Industry,Urban-formal,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Agriculture,Urban-villages,1,5.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Agriculture,Urban-informal,1,5.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Agriculture,Urban-formal,1,5.0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Airport and Harbour,Industry,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Transportation,Industry,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-informal,Industry,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
Urban-formal,Industry,1,0,0.5994239844847703,0.03924539291884013,0.051387075943663194,-0.04326408291820688
