From,To,Distance,Value,Kappa,KSIM,AAWCE,WS
Urban-villages,Urban-villages,0,1000.0,0.5913204393510061,0.05603263923006748,0.0323898697126526,0.18589151742066565
Urban-informal,Urban-informal,0,1000.0,0.5913204393510061,0.05603263923006748,0.0323898697126526,0.18589151742066565
Urban-formal,Urban-formal,0,253.76874905548112,0.5789015554084129,0.05577784052750844,0.02676625328209879,0.19494790439005155
Industry,Industry,0,253.76874905548112,0.5790087687949677,0.0560376553965035,0.02668038787297469,0.1964378388890829
Recreation,Recreation,0,250.0,0.5790087687949677,0.0560376553965035,0.02668038787297469,0.1964378388890829
Nature,Nature,0,250.0,0.5790087687949677,0.0560376553965035,0.02668038787297469,0.1964378388890829
Forest,Forest,0,1000.0,0.5790087687949677,0.0560376553965035,0.02668038787297469,0.1964378388890829
Urban-villages,Urban-villages,1,0.502499874064149,0.5801613127004315,0.05608740974586969,0.026370493804536297,0.19902897646576512
Urban-informal,Urban-informal,1,0.502499874064149,0.583243697563881,0.055661995838456366,0.02223343928470679,0.21695792377887924
Urban-formal,Urban-formal,1,12.5,0.583243697563881,0.055661995838456366,0.02223343928470679,0.21695792377887924
Industry,Industry,1,25.0,0.583243697563881,0.055661995838456366,0.02223343928470679,0.21695792377887924
Recreation,Recreation,1,0.502499874064149,0.5835027965813883,0.054945235551944714,0.020032097118238047,0.22315535031621497
Nature,Nature,1,12.5,0.5835027965813883,0.054945235551944714,0.020032097118238047,0.22315535031621497
Forest,Forest,1,12.5,0.5835027965813883,0.054945235551944714,0.020032097118238047,0.22315535031621497
Transportation,Urban-villages,0,13.75,0.5835027965813883,0.054945235551944714,0.020032097118238047,0.22315535031621497
Urban-formal,Urban-villages,0,13.75,0.5835027965813883,0.054945235551944714,0.020032097118238047,0.22315535031621497
Nature,Urban-informal,0,0.502499874064149,0.5835564032746654,0.05507487707392844,0.020024956578940836,0.22375608525461582
Nature,Urban-formal,0,13.75,0.5835564032746654,0.05507487707392844,0.020024956578940836,0.22375608525461582
Industry,Urban-villages,0,6.875,0.5835564032746654,0.05507487707392844,0.020024956578940836,0.22375608525461582
Industry,Urban-informal,0,6.875,0.5835564032746654,0.05507487707392844,0.020024956578940836,0.22375608525461582
Industry,Urban-formal,0,0.502499874064149,0.5833955831948333,0.054822289737349664,0.019577323358474553,0.22437544871033382
Agriculture,Urban-informal,0,0.502499874064149,0.5836278788657022,0.054747324571314974,0.019043222319284705,0.2264442878738233
Agriculture,Urban-formal,0,27.5,0.5836278788657022,0.054747324571314974,0.019043222319284705,0.2264442878738233
Urban-formal,Industry,0,0.502499874064149,0.5860312456143048,0.055371539905160756,0.019786825174200384,0.2283701045381462
Nature,Industry,0,0.502499874064149,0.5860669834098228,0.055417910751812204,0.019803181972967595,0.22852589852520122
Agriculture,Industry,0,13.75,0.5860669834098228,0.055417910751812204,0.019803181972967595,0.22852589852520122
Industry,Recreation,0,6.875,0.5860669834098228,0.055417910751812204,0.019803181972967595,0.22852589852520122
Agriculture,Recreation,0,0.502499874064149,0.5866209192403558,0.05534178103989243,0.019630719435149355,0.22946516565932806
Urban-formal,Nature,0,6.875,0.5866209192403558,0.05534178103989243,0.019630719435149355,0.22946516565932806
Nature,Forest,0,27.5,0.5866209192403558,0.05534178103989243,0.019630719435149355,0.22946516565932806
Agriculture,Nature,0,27.5,0.5866209192403558,0.05534178103989243,0.019630719435149355,0.22946516565932806
Agriculture,Forest,0,0.502499874064149,0.5870140349910565,0.05563635138514508,0.01922789290020837,0.2326478689308034
Airport and Harbour,Urban-formal,1,10.0,0.5870140349910565,0.05563635138514508,0.01922789290020837,0.2326478689308034
Transportation,Urban-villages,1,0.502499874064149,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Transportation,Urban-informal,1,10.0,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Transportation,Urban-formal,1,20.0,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Urban-informal,Urban-formal,1,5.0,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Urban-formal,Urban-villages,1,20.0,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Recreation,Urban-formal,1,5.0,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Nature,Urban-informal,1,5.0,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Nature,Urban-formal,1,5.0,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Industry,Urban-villages,1,20.0,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Industry,Urban-informal,1,20.0,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Industry,Urban-formal,1,20.0,0.5871748550708887,0.056008176726070606,0.01919143018546712,0.2344418412333027
Agriculture,Urban-villages,1,0.502499874064149,0.5871748550708887,0.056224847999583646,0.019312459445335235,0.2348244092878824
Agriculture,Urban-informal,1,0.502499874064149,0.5877466597991806,0.05665969270208395,0.018958836681075834,0.2385500838832131
Agriculture,Urban-formal,1,0.502499874064149,0.589953468672433,0.061709420590078674,0.02335612708482276,0.24336664269345665
Airport and Harbour,Industry,1,0.502499874064149,0.5899892064679513,0.06172766000386854,0.023322013189478977,0.2436117937255095
Transportation,Industry,1,10.0,0.5899892064679513,0.06172766000386854,0.023322013189478977,0.2436117937255095
Urban-informal,Industry,1,0.502499874064149,0.5914901938797178,0.061787454271744216,0.02351036094618471,0.24459856718195588
Urban-formal,Industry,1,20.0,0.5914901938797178,0.061787454271744216,0.02351036094618471,0.24459856718195588
