From,To,Distance,Value,Kappa,KSIM,AAWCE,WS
Urban-villages,Urban-villages,0,1000.0,0.6111906536591554,0.10311436956185767,0.044716962795739286,0.1014879903801951
Urban-informal,Urban-informal,0,1000.0,0.6111906536591554,0.10311436956185767,0.044716962795739286,0.1014879903801951
Urban-formal,Urban-formal,0,500.0,0.6111906536591554,0.10311436956185767,0.044716962795739286,0.1014879903801951
Industry,Industry,0,253.76874905548112,0.6113604081878672,0.10337793121889483,0.04463427328678745,0.1024590414158846
Recreation,Recreation,0,250.0,0.6113604081878672,0.10337793121889483,0.04463427328678745,0.1024590414158846
Nature,Nature,0,253.76874905548112,0.6138977916696631,0.10285644294153343,0.04225358740773384,0.11263039736524022
Forest,Forest,0,1000.0,0.6138977916696631,0.10285644294153343,0.04225358740773384,0.11263039736524022
Urban-villages,Urban-villages,1,0.502499874064149,0.6148448432508968,0.1028167118615911,0.040993696798289556,0.11822186536395518
Urban-informal,Urban-informal,1,0.502499874064149,0.614639350926667,0.10046758841718813,0.039739662335533305,0.11840276144335438
Urban-formal,Urban-formal,1,12.5,0.614639350926667,0.10046758841718813,0.039739662335533305,0.11840276144335438
Industry,Industry,1,25.0,0.614639350926667,0.10046758841718813,0.039739662335533305,0.11840276144335438
Recreation,Recreation,1,0.502499874064149,0.614639350926667,0.09925933032001356,0.037310074557799444,0.1257045963599407
Nature,Nature,1,12.5,0.614639350926667,0.09925933032001356,0.037310074557799444,0.1257045963599407
Forest,Forest,1,12.5,0.614639350926667,0.09925933032001356,0.037310074557799444,0.1257045963599407
Transportation,Urban-villages,0,13.75,0.614639350926667,0.09925933032001356,0.037310074557799444,0.1257045963599407
Urban-formal,Urban-villages,0,13.75,0.614639350926667,0.09925933032001356,0.037310074557799444,0.1257045963599407
Nature,Urban-informal,0,0.502499874064149,0.6146840231710647,0.09935006525132233,0.03729444582258147,0.12597836265969525
Nature,Urban-formal,0,13.75,0.6146840231710647,0.09935006525132233,0.03729444582258147,0.12597836265969525
Industry,Urban-villages,0,6.875,0.6146840231710647,0.09935006525132233,0.03729444582258147,0.12597836265969525
Industry,Urban-informal,0,6.875,0.6146840231710647,0.09935006525132233,0.03729444582258147,0.12597836265969525
Industry,Urban-formal,0,6.875,0.6146840231710647,0.09935006525132233,0.03729444582258147,0.12597836265969525
Agriculture,Urban-informal,0,13.75,0.6146840231710647,0.09935006525132233,0.03729444582258147,0.12597836265969525
Agriculture,Urban-formal,0,27.5,0.6146840231710647,0.09935006525132233,0.03729444582258147,0.12597836265969525
Urban-formal,Industry,0,6.875,0.6146840231710647,0.09935006525132233,0.03729444582258147,0.12597836265969525
Nature,Industry,0,0.502499874064149,0.614719760966583,0.0993291894408232,0.037265184559244706,0.1260774812890562
Agriculture,Industry,0,13.75,0.614719760966583,0.0993291894408232,0.037265184559244706,0.1260774812890562
Industry,Recreation,0,6.875,0.614719760966583,0.0993291894408232,0.037265184559244706,0.1260774812890562
Agriculture,Recreation,0,0.502499874064149,0.6154077135303094,0.09949991919850285,0.037253865254480226,0.12692285306595774
Urban-formal,Nature,0,6.875,0.6154077135303094,0.09949991919850285,0.037253865254480226,0.12692285306595774
Nature,Forest,0,27.5,0.6154077135303094,0.09949991919850285,0.037253865254480226,0.12692285306595774
Agriculture,Nature,0,0.502499874064149,0.6340539083419583,0.10173248228767896,0.040088402434680856,0.13248062706460667
Agriculture,Forest,0,0.502499874064149,0.6341343183818746,0.10180673743715092,0.03986452630366981,0.13357824858087236
Airport and Harbour,Urban-formal,1,0.502499874064149,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Transportation,Urban-villages,1,10.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Transportation,Urban-informal,1,10.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Transportation,Urban-formal,1,20.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Urban-informal,Urban-formal,1,5.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Urban-formal,Urban-villages,1,20.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Recreation,Urban-formal,1,5.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Nature,Urban-informal,1,5.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Nature,Urban-formal,1,5.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Industry,Urban-villages,1,20.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Industry,Urban-informal,1,20.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Industry,Urban-formal,1,20.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Agriculture,Urban-villages,1,5.0,0.6341789906262723,0.10193121968562903,0.03987359625296562,0.13382071477691038
Agriculture,Urban-informal,1,0.502499874064149,0.6350009599231922,0.10311879208483239,0.038602562945256484,0.14182797233743363
Agriculture,Urban-formal,1,0.502499874064149,0.6373417855296378,0.1076924559464805,0.04123512531200332,0.1420056009980396
Airport and Harbour,Industry,1,0.502499874064149,0.6373417855296378,0.1076924559464805,0.041231136231546686,0.14202155731986615
Transportation,Industry,1,0.502499874064149,0.6377974424224956,0.10834194237063532,0.041455034552042976,0.14272870814809577
Urban-informal,Industry,1,10.0,0.6377974424224956,0.10834194237063532,0.041455034552042976,0.14272870814809577
Urban-formal,Industry,1,20.0,0.6377974424224956,0.10834194237063532,0.041455034552042976,0.14272870814809577
