From,To,Distance,Value,Kappa,KSIM,AAWCE,WS
Urban-villages,Urban-villages,0,1000.0,0.5903376499742543,0.017421683682206493,0.095084164796867,-0.2203122744843877
Urban-informal,Urban-informal,0,253.76874905548112,0.5903644533208929,0.017655164701206046,0.09519569694990722,-0.21979767567391173
Urban-formal,Urban-formal,0,253.76874905548112,0.5899981409168309,0.018818795834775158,0.09532058546650181,-0.21600901761007568
Industry,Industry,0,250.0,0.5899981409168309,0.018818795834775158,0.09532058546650181,-0.21600901761007568
Recreation,Recreation,0,253.76874905548112,0.5900517476101081,0.01883465066526728,0.09533255270787172,-0.2159398605603096
Nature,Nature,0,253.76874905548112,0.5901321576500242,0.018942400747207468,0.0949806314092241,-0.21402076499804223
Forest,Forest,0,1000.0,0.5901321576500242,0.018942400747207468,0.0949806314092241,-0.21402076499804223
Urban-villages,Urban-villages,1,0.502499874064149,0.5902036332410608,0.019135527497308135,0.09501049923787828,-0.21329625372121974
Urban-informal,Urban-informal,1,0.502499874064149,0.5902036332410607,0.01912177082171135,0.09495566147289723,-0.21313192936368275
Urban-formal,Urban-formal,1,12.5,0.5902036332410607,0.01912177082171135,0.09495566147289723,-0.21313192936368275
Industry,Industry,1,0,0.5902036332410607,0.01912177082171135,0.09495566147289723,-0.21313192936368275
Recreation,Recreation,1,0,0.5902036332410607,0.01912177082171135,0.09495566147289723,-0.21313192936368275
Nature,Nature,1,0.502499874064149,0.592222818687842,0.033389145225985725,0.05204428271362912,0.017602268737268417
Forest,Forest,1,12.5,0.592222818687842,0.033389145225985725,0.05204428271362912,0.017602268737268417
Transportation,Urban-villages,0,13.75,0.592222818687842,0.033389145225985725,0.05204428271362912,0.017602268737268417
Urban-formal,Urban-villages,0,13.75,0.592222818687842,0.033389145225985725,0.05204428271362912,0.017602268737268417
Nature,Urban-informal,0,0.502499874064149,0.5922585564833602,0.033498991051964556,0.05206083358453305,0.018011186353086323
Nature,Urban-formal,0,13.75,0.5922585564833602,0.033498991051964556,0.05206083358453305,0.018011186353086323
Industry,Urban-villages,0,6.875,0.5922585564833602,0.033498991051964556,0.05206083358453305,0.018011186353086323
Industry,Urban-informal,0,6.875,0.5922585564833602,0.033498991051964556,0.05206083358453305,0.018011186353086323
Industry,Urban-formal,0,0.502499874064149,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Agriculture,Urban-informal,0,13.75,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Agriculture,Urban-formal,0,27.5,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Urban-formal,Industry,0,6.875,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Nature,Industry,0,6.875,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Agriculture,Industry,0,13.75,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Industry,Recreation,0,6.875,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Agriculture,Recreation,0,27.5,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Urban-formal,Nature,0,6.875,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Nature,Forest,0,27.5,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Agriculture,Nature,0,27.5,0.5923657698699152,0.03374000305090839,0.05207152980784711,0.019039662842160354
Agriculture,Forest,0,0.502499874064149,0.595564302568799,0.034770013849039785,0.04922778951183228,0.03773319991762905
Airport and Harbour,Urban-formal,1,0,0.595564302568799,0.034770013849039785,0.04922778951183228,0.03773319991762905
Transportation,Urban-villages,1,0.502499874064149,0.595582171466558,0.034812659926144435,0.04922026364383615,0.03795175659579117
Transportation,Urban-informal,1,0,0.595582171466558,0.034812659926144435,0.04922026364383615,0.03795175659579117
Transportation,Urban-formal,1,0,0.595582171466558,0.034812659926144435,0.04922026364383615,0.03795175659579117
Urban-informal,Urban-formal,1,5.0,0.595582171466558,0.034812659926144435,0.04922026364383615,0.03795175659579117
Urban-formal,Urban-villages,1,0,0.595582171466558,0.034812659926144435,0.04922026364383615,0.03795175659579117
Recreation,Urban-formal,1,5.0,0.595582171466558,0.034812659926144435,0.04922026364383615,0.03795175659579117
Nature,Urban-informal,1,5.0,0.595582171466558,0.034812659926144435,0.04922026364383615,0.03795175659579117
Nature,Urban-formal,1,5.0,0.595582171466558,0.034812659926144435,0.04922026364383615,0.03795175659579117
Industry,Urban-villages,1,0,0.595582171466558,0.034812659926144435,0.04922026364383615,0.03795175659579117
Industry,Urban-informal,1,0.502499874064149,0.595600040364317,0.034855306003249084,0.04919322090879948,0.03824838074211545
Industry,Urban-formal,1,0.502499874064149,0.5956357781598354,0.03493244931230526,0.049225399499072425,0.03846397741276675
Agriculture,Urban-villages,1,0.502499874064149,0.5955911059154376,0.03474801569767104,0.049028506688725035,0.03846914195122167
Agriculture,Urban-informal,1,5.0,0.5955911059154376,0.03474801569767104,0.049028506688725035,0.03846914195122167
Agriculture,Urban-formal,1,0.502499874064149,0.5993882466892521,0.03928468975469957,0.051517066305299036,0.050458740486854226
Airport and Harbour,Industry,1,0,0.5993882466892521,0.03928468975469957,0.051517066305299036,0.050458740486854226
Transportation,Industry,1,0.502499874064149,0.5994150500358907,0.03923211697425567,0.0513990431850331,0.05074734519278096
Urban-informal,Industry,1,0,0.5994150500358907,0.03923211697425567,0.0513990431850331,0.05074734519278096
Urban-formal,Industry,1,0.502499874064149,0.5994239844847703,0.03924539291884013,0.051387075943663194,0.050857252385478086
